vintage,from_state,to_state,count,probability
2007Q3,CURRENT,CURRENT,471570,0.9654278677549918
2007Q3,CURRENT,30_DPD,8255,0.01690015702508102
2007Q3,30_DPD,30_DPD,8771,0.4821615084382387
2007Q3,30_DPD,CURRENT,5419,0.297894563245561
2007Q3,CURRENT,PAID_OFF,8264,0.016918582393127747
2007Q3,30_DPD,60_DPD,3827,0.21037875872684295
2007Q3,60_DPD,90_PLUS,2571,0.3682325981094242
2007Q3,90_PLUS,90_PLUS,25700,0.9058864998237575
2007Q3,90_PLUS,DEFAULTED,932,0.03285160380683821
2007Q3,DEFAULTED,DEFAULTED,3928,0.9987287058225274
2007Q3,CURRENT,CENSORED_RPL,178,0.0003644128347019287
2007Q3,60_DPD,30_DPD,984,0.14093382984818104
2007Q3,90_PLUS,CURRENT,1043,0.03676418752203031
2007Q3,60_DPD,60_DPD,2700,0.38670867946147236
2007Q3,60_DPD,CURRENT,685,0.09810942423374391
2007Q3,30_DPD,PAID_OFF,107,0.005882029575064593
2007Q3,CURRENT,90_PLUS,69,0.00014126115502490494
2007Q3,90_PLUS,30_DPD,182,0.006415227352837505
2007Q3,90_PLUS,60_DPD,375,0.013218188227000353
2007Q3,60_DPD,PAID_OFF,25,0.003580635920939559
2007Q3,CURRENT,60_DPD,80,0.00016378104930423764
2007Q3,90_PLUS,PAID_OFF,69,0.002432146633768065
2007Q3,30_DPD,90_PLUS,32,0.0017591116486174482
2007Q3,60_DPD,DEFAULTED,6,0.0008593526210254941
2007Q3,90_PLUS,CENSORED_DEFECT,68,0.0023968981318293974
2007Q3,CURRENT,CENSORED_DEFECT,35,7.165420907060396e-05
2007Q3,30_DPD,CENSORED_RPL,25,0.0013743059754823814
2007Q3,CURRENT,DEFAULTED,6,1.2283578697817823e-05
2007Q3,30_DPD,DEFAULTED,4,0.00021988895607718103
2007Q3,60_DPD,CENSORED_DEFECT,3,0.00042967631051274706
2007Q3,30_DPD,CENSORED_DEFECT,6,0.0003298334341157715
2007Q3,DEFAULTED,CENSORED_DEFECT,5,0.0012712941774726673
2007Q3,60_DPD,CENSORED_RPL,8,0.0011458034947006588
2007Q3,90_PLUS,CENSORED_RPL,1,3.524850193866761e-05
2007Q4,CURRENT,CURRENT,482343,0.9663210151576468
2007Q4,CURRENT,PAID_OFF,8217,0.016461853456047632
2007Q4,CURRENT,30_DPD,8188,0.016403755153720095
2007Q4,30_DPD,60_DPD,3872,0.21469365123371223
2007Q4,60_DPD,90_PLUS,2640,0.38455935906773486
2007Q4,90_PLUS,90_PLUS,25584,0.9036770160008477
2007Q4,90_PLUS,PAID_OFF,68,0.0024018932570379005
2007Q4,30_DPD,CURRENT,5308,0.2943166065982811
2007Q4,30_DPD,30_DPD,8682,0.4813972830607153
2007Q4,60_DPD,60_DPD,2539,0.36984705025491627
2007Q4,90_PLUS,CURRENT,1136,0.040125746176397865
2007Q4,90_PLUS,DEFAULTED,934,0.03299071032460881
2007Q4,DEFAULTED,DEFAULTED,4059,0.9985239852398524
2007Q4,60_DPD,CURRENT,624,0.09089584850691916
2007Q4,90_PLUS,60_DPD,365,0.012892515276747554
2007Q4,60_DPD,30_DPD,1013,0.14756008739985432
2007Q4,60_DPD,CENSORED_RPL,5,0.0007283321194464676
2007Q4,CURRENT,90_PLUS,65,0.00013022033280310285
2007Q4,90_PLUS,30_DPD,157,0.005545547666984564
2007Q4,30_DPD,PAID_OFF,100,0.0055447740504574435
2007Q4,CURRENT,CENSORED_RPL,206,0.0004126982854990644
2007Q4,CURRENT,60_DPD,92,0.00018431185565977634
2007Q4,CURRENT,CENSORED_DEFECT,40,8.013558941729406e-05
2007Q4,30_DPD,CENSORED_DEFECT,6,0.00033268644302744666
2007Q4,90_PLUS,CENSORED_DEFECT,64,0.002260605418388612
2007Q4,60_DPD,PAID_OFF,30,0.004369992716678805
2007Q4,30_DPD,CENSORED_RPL,30,0.0016634322151372332
2007Q4,60_DPD,CENSORED_DEFECT,3,0.00043699927166788056
2007Q4,30_DPD,DEFAULTED,7,0.00038813418353202106
2007Q4,30_DPD,90_PLUS,30,0.0016634322151372332
2007Q4,CURRENT,DEFAULTED,3,6.010169206297054e-06
2007Q4,DEFAULTED,CENSORED_DEFECT,6,0.0014760147601476014
2007Q4,60_DPD,DEFAULTED,11,0.0016023306627822287
2007Q4,90_PLUS,CENSORED_RPL,3,0.0001059658789869662
